LAMMPS polymer data

150 atoms
149 bonds

1 atom types
1 bond types

-15.94863738 15.21248464 xlo xhi
-19.68687621 18.77455788 ylo yhi
-14.54338568 15.24768473 zlo zhi

Masses

1 1.00000000

Atoms

86 1 1 -3.21612637 2.90364109 -2.21275305
87 1 1 -2.26758990 2.65145588 -2.40427639
88 1 1 -2.12430035 3.16565053 -1.55865711
89 1 1 -1.39844180 2.58616044 -1.18808914
90 1 1 -1.90033963 1.84532119 -1.63446990
91 1 1 -2.30913798 0.95524710 -1.43284645
92 1 1 -2.83532963 0.18728055 -1.06767563
93 1 1 -2.86767244 -0.74356116 -1.43166418
94 1 1 -3.51626369 -1.43314012 -1.75386015
95 1 1 -2.65828123 -1.92331108 -1.60024204
96 1 1 -2.39671506 -2.83697615 -1.28911621
97 1 1 -2.15154497 -2.49620904 -0.38149878
98 1 1 -1.36839190 -1.91575948 -0.15845267
99 1 1 -0.62331916 -2.32323851 0.36958848
100 1 1 -0.48866634 -3.22246899 -0.04664842
101 1 1 -0.86122864 -3.79302298 -0.77854014
102 1 1 -1.53773952 -4.34321477 -0.28902810
103 1 1 -2.40379575 -4.41019363 -0.78446775
104 1 1 -2.20056605 -3.71310933 -0.09688418
105 1 1 -1.38935454 -3.42633118 0.41271779
106 1 1 -1.87919631 -3.52733385 1.27865861
107 1 1 -1.24083596 -3.22765197 1.98766273
108 1 1 -0.74911325 -3.60774732 1.20424949
109 1 1 -0.49856954 -4.41044462 0.66304261
110 1 1 -0.12031822 -4.34556508 -0.26038394
111 1 1 -0.11068736 -4.57366847 -1.23397322
112 1 1 0.08170186 -3.62630261 -1.48987222
113 1 1 0.72626506 -3.62538511 -0.72532174
114 1 1 0.55702557 -2.64367417 -0.63813449
115 1 1 0.70418372 -2.59233135 -1.62591402
116 1 1 1.58455539 -3.04978847 -1.50069940
117 1 1 2.42631803 -3.17543429 -2.02572205
118 1 1 2.27009938 -2.91223414 -2.97773120
119 1 1 1.66743725 -3.68179373 -3.18886244
120 1 1 1.35119033 -3.73968680 -2.24195364
121 1 1 0.59694095 -3.22146180 -2.64512946
122 1 1 -0.01827054 -3.17761593 -3.43227135
123 1 1 -0.09279254 -4.15769977 -3.61634236
124 1 1 0.08615346 -4.42428063 -2.66928746
125 1 1 0.52255558 -5.31826075 -2.56753906
126 1 1 0.12593678 -5.83250880 -3.32796162
127 1 1 0.40952818 -6.62937832 -3.86141721
128 1 1 1.40273678 -6.74555714 -3.85515923
129 1 1 2.05362481 -7.44954996 -3.57101335
130 1 1 2.87022698 -7.54138151 -4.14086232
131 1 1 3.75113506 -7.79033110 -4.54338568
132 1 1 4.45659069 -7.86543035 -3.83862157
133 1 1 3.70090844 -8.37078084 -3.42200998
134 1 1 3.02709207 -8.23338223 -2.69599818
135 1 1 2.05482411 -8.32808021 -2.90983764
136 1 1 2.52346033 -9.16431034 -2.62505829
137 1 1 3.04337998 -9.68687621 -1.94933019
138 1 1 2.84036523 -9.19403189 -1.10322766
139 1 1 2.96949306 -9.23611536 -0.11249309
140 1 1 3.01065558 -9.43699024 0.86625863
141 1 1 3.81355315 -8.95057235 1.21086439
142 1 1 3.16566962 -8.79962315 1.95749768
143 1 1 3.98111824 -8.23505037 1.82982179
144 1 1 4.60974228 -9.00593319 1.72700403
145 1 1 5.01392650 -9.26950399 2.60288390
146 1 1 5.21248464 -8.91329701 3.51595085
147 1 1 4.24410622 -8.82563296 3.28237374
148 1 1 3.37586910 -8.58879324 2.84640214
149 1 1 2.69381915 -9.02470148 3.43359196
150 1 1 1.97804744 -9.16871036 4.11691641

Bonds

1 1 1 2
2 1 2 3
3 1 3 4
4 1 4 5
5 1 5 6
6 1 6 7
7 1 7 8
8 1 8 9
9 1 9 10
10 1 10 11
11 1 11 12
12 1 12 13
13 1 13 14
14 1 14 15
15 1 15 16
16 1 16 17
17 1 17 18
18 1 18 19
19 1 19 20
20 1 20 21
21 1 21 22
22 1 22 23
23 1 23 24
24 1 24 25
25 1 25 26
26 1 26 27
27 1 27 28
28 1 28 29
29 1 29 30
30 1 30 31
31 1 31 32
32 1 32 33
33 1 33 34
34 1 34 35
35 1 35 36
36 1 36 37
37 1 37 38
38 1 38 39
39 1 39 40
40 1 40 41
41 1 41 42
42 1 42 43
43 1 43 44
44 1 44 45
45 1 45 46
46 1 46 47
47 1 47 48
48 1 48 49
49 1 49 50
50 1 50 51
51 1 51 52
52 1 52 53
53 1 53 54
54 1 54 55
55 1 55 56
56 1 56 57
57 1 57 58
58 1 58 59
59 1 59 60
60 1 60 61
61 1 61 62
62 1 62 63
63 1 63 64
64 1 64 65
65 1 65 66
66 1 66 67
67 1 67 68
68 1 68 69
69 1 69 70
70 1 70 71
71 1 71 72
72 1 72 73
73 1 73 74
74 1 74 75
75 1 75 76
76 1 76 77
77 1 77 78
78 1 78 79
79 1 79 80
80 1 80 81
81 1 81 82
82 1 82 83
83 1 83 84
84 1 84 85
85 1 85 86
86 1 86 87
87 1 87 88
88 1 88 89
89 1 89 90
90 1 90 91
91 1 91 92
92 1 92 93
93 1 93 94
94 1 94 95
95 1 95 96
96 1 96 97
97 1 97 98
98 1 98 99
99 1 99 100
100 1 100 101
101 1 101 102
102 1 102 103
103 1 103 104
104 1 104 105
105 1 105 106
106 1 106 107
107 1 107 108
108 1 108 109
109 1 109 110
110 1 110 111
111 1 111 112
112 1 112 113
113 1 113 114
114 1 114 115
115 1 115 116
116 1 116 117
117 1 117 118
118 1 118 119
119 1 119 120
120 1 120 121
121 1 121 122
122 1 122 123
123 1 123 124
124 1 124 125
125 1 125 126
126 1 126 127
127 1 127 128
128 1 128 129
129 1 129 130
130 1 130 131
131 1 131 132
132 1 132 133
133 1 133 134
134 1 134 135
135 1 135 136
136 1 136 137
137 1 137 138
138 1 138 139
139 1 139 140
140 1 140 141
141 1 141 142
142 1 142 143
143 1 143 144
144 1 144 145
145 1 145 146
146 1 146 147
147 1 147 148
148 1 148 149
149 1 149 150
