q_Ainv,Sq,nframes_avg
1.108500003814697266e+00,2.023686778979258083e+00,1.000100000000000000e+04
1.121500015258789062e+00,1.807572173399992543e+00,1.000100000000000000e+04
1.134500026702880859e+00,1.453578540719147938e+00,1.000100000000000000e+04
1.147499918937683105e+00,1.383309628221824461e+00,1.000100000000000000e+04
1.160499930381774902e+00,2.158839229014191563e+00,1.000100000000000000e+04
1.173499941825866699e+00,2.100747901324617306e+00,1.000100000000000000e+04
1.186499953269958496e+00,1.252887833778196125e+00,1.000100000000000000e+04
1.199499964714050293e+00,1.576425855904266315e+00,1.000100000000000000e+04
1.212499976158142090e+00,1.240049156874087455e+00,1.000100000000000000e+04
1.225499987602233887e+00,1.493522368810281886e+00,1.000100000000000000e+04
1.238499999046325684e+00,2.085116573374648841e+00,1.000100000000000000e+04
1.251500010490417480e+00,1.193596135093717425e+00,1.000100000000000000e+04
1.264499902725219727e+00,1.160510218169686469e+00,1.000100000000000000e+04
1.277499914169311523e+00,1.308141263136088028e+00,1.000100000000000000e+04
1.290499925613403320e+00,1.324900085866933974e+00,1.000100000000000000e+04
1.303499937057495117e+00,1.477411041527006086e+00,1.000100000000000000e+04
1.316499948501586914e+00,9.632656652889732829e-01,1.000100000000000000e+04
1.329499959945678711e+00,1.832633718724933747e+00,1.000100000000000000e+04
1.342499971389770508e+00,1.349276360649190432e+00,1.000100000000000000e+04
1.355499982833862305e+00,7.547026532415794797e-01,1.000100000000000000e+04
1.368499994277954102e+00,8.475572866980951581e-01,1.000100000000000000e+04
1.381500005722045898e+00,1.119120833799488901e+00,1.000100000000000000e+04
1.394500017166137695e+00,1.070857030903026086e+00,1.000100000000000000e+04
1.407499909400939941e+00,1.074574858173705572e+00,1.000100000000000000e+04
1.420499920845031738e+00,1.041528819120117300e+00,1.000100000000000000e+04
1.433499932289123535e+00,1.253336517527847027e+00,1.000100000000000000e+04
1.446499943733215332e+00,8.034256690368689613e-01,1.000100000000000000e+04
1.459499955177307129e+00,8.806010322289018477e-01,1.000100000000000000e+04
1.472499966621398926e+00,1.231728890841274904e+00,1.000100000000000000e+04
1.485499858856201172e+00,1.045343730058947429e+00,1.000100000000000000e+04
1.498499870300292969e+00,nan,1.000100000000000000e+04
1.511499881744384766e+00,6.446770171906492930e-01,1.000100000000000000e+04
1.524499893188476562e+00,7.468091248124971715e-01,1.000100000000000000e+04
1.537499904632568359e+00,7.577709468194644415e-01,1.000100000000000000e+04
1.550499916076660156e+00,1.147322065516622525e+00,1.000100000000000000e+04
1.563499927520751953e+00,8.225922453237788368e-01,1.000100000000000000e+04
1.576499938964843750e+00,6.869796871540755356e-01,1.000100000000000000e+04
1.589499950408935547e+00,8.928660804802698303e-01,1.000100000000000000e+04
1.602499961853027344e+00,5.170257694143144400e-01,1.000100000000000000e+04
1.615499973297119141e+00,7.802228429397097820e-01,1.000100000000000000e+04
1.628499865531921387e+00,7.376838545509128986e-01,1.000100000000000000e+04
1.641499876976013184e+00,7.380368863626809439e-01,1.000100000000000000e+04
1.654499888420104980e+00,6.386719285181290395e-01,1.000100000000000000e+04
1.667499899864196777e+00,7.664585082027485230e-01,1.000100000000000000e+04
1.680499911308288574e+00,8.804332501512088793e-01,1.000100000000000000e+04
1.693499922752380371e+00,6.191681680025463708e-01,1.000100000000000000e+04
1.706499934196472168e+00,7.766226121079098377e-01,1.000100000000000000e+04
1.719499945640563965e+00,7.492810045077960002e-01,1.000100000000000000e+04
1.732499957084655762e+00,8.835357007783909422e-01,1.000100000000000000e+04
1.745499849319458008e+00,9.307587993254055059e-01,1.000100000000000000e+04
1.758499860763549805e+00,7.423222358942437316e-01,1.000100000000000000e+04
1.771499872207641602e+00,8.129988382958303061e-01,1.000100000000000000e+04
1.784499883651733398e+00,8.523490807406008951e-01,1.000100000000000000e+04
1.797499895095825195e+00,8.813432748050000765e-01,1.000100000000000000e+04
1.810499906539916992e+00,9.213349366948528907e-01,1.000100000000000000e+04
1.823499917984008789e+00,6.747227733778412562e-01,1.000100000000000000e+04
1.836499929428100586e+00,6.567445493409119761e-01,1.000100000000000000e+04
1.849499940872192383e+00,8.701071251441140353e-01,1.000100000000000000e+04
1.862499952316284180e+00,1.046907411785247710e+00,1.000100000000000000e+04
1.875499963760375977e+00,8.625576050147308882e-01,1.000100000000000000e+04
1.888499855995178223e+00,8.757435765317435061e-01,1.000100000000000000e+04
1.901499867439270020e+00,9.281408261530471604e-01,1.000100000000000000e+04
1.914499878883361816e+00,7.211217993397126547e-01,1.000100000000000000e+04
1.927499890327453613e+00,8.106419218145552996e-01,1.000100000000000000e+04
1.940499901771545410e+00,8.047799300746957263e-01,1.000100000000000000e+04
1.953499913215637207e+00,8.789863508709095941e-01,1.000100000000000000e+04
1.966499924659729004e+00,9.906278932279926064e-01,1.000100000000000000e+04
1.979499936103820801e+00,8.640585029981050491e-01,1.000100000000000000e+04
1.992499947547912598e+00,9.317758143657375314e-01,1.000100000000000000e+04
2.005499839782714844e+00,9.632173938824407644e-01,1.000100000000000000e+04
2.018499851226806641e+00,8.970663760551368382e-01,1.000100000000000000e+04
2.031499862670898438e+00,9.303946272276267804e-01,1.000100000000000000e+04
2.044499874114990234e+00,1.022570649429197731e+00,1.000100000000000000e+04
2.057499885559082031e+00,8.850123270006611254e-01,1.000100000000000000e+04
2.070499897003173828e+00,9.466525096289456487e-01,1.000100000000000000e+04
2.083499908447265625e+00,9.683113332844152099e-01,1.000100000000000000e+04
2.096499919891357422e+00,1.010350238006242130e+00,1.000100000000000000e+04
2.109499931335449219e+00,9.762000286535028604e-01,1.000100000000000000e+04
