q_Ainv,Sq,nframes_avg
1.758499860763549805e+00,7.423222355247318660e-01,1.000100000000000000e+04
1.771499872207641602e+00,8.129988385372048931e-01,1.000100000000000000e+04
1.784499883651733398e+00,8.523490803025505214e-01,1.000100000000000000e+04
1.797499895095825195e+00,8.813432755857428802e-01,1.000100000000000000e+04
1.810499906539916992e+00,9.213349363849396845e-01,1.000100000000000000e+04
1.823499917984008789e+00,6.747227730977274351e-01,1.000100000000000000e+04
1.836499929428100586e+00,6.567445499681882071e-01,1.000100000000000000e+04
1.849499940872192383e+00,8.701071270095528387e-01,1.000100000000000000e+04
1.862499952316284180e+00,1.046907411537913335e+00,1.000100000000000000e+04
1.875499963760375977e+00,8.625576048508344362e-01,1.000100000000000000e+04
1.888499855995178223e+00,8.757435763142082941e-01,1.000100000000000000e+04
1.901499867439270020e+00,9.281408270291477969e-01,1.000100000000000000e+04
1.914499878883361816e+00,7.211218001711143799e-01,1.000100000000000000e+04
1.927499890327453613e+00,8.106419234118000805e-01,1.000100000000000000e+04
1.940499901771545410e+00,8.047799292641536484e-01,1.000100000000000000e+04
1.953499913215637207e+00,8.789863515890737888e-01,1.000100000000000000e+04
1.966499924659729004e+00,9.906278927929221823e-01,1.000100000000000000e+04
1.979499936103820801e+00,8.640585040410820872e-01,1.000100000000000000e+04
1.992499947547912598e+00,9.317758132899812695e-01,1.000100000000000000e+04
2.005499839782714844e+00,9.632173930420993013e-01,1.000100000000000000e+04
2.018499851226806641e+00,8.970663760372572515e-01,1.000100000000000000e+04
2.031499862670898438e+00,9.303946269296333726e-01,1.000100000000000000e+04
2.044499874114990234e+00,1.022570649438137469e+00,1.000100000000000000e+04
2.057499885559082031e+00,8.850123267533266391e-01,1.000100000000000000e+04
2.070499897003173828e+00,9.466525116135818818e-01,1.000100000000000000e+04
2.083499908447265625e+00,9.683113332784554217e-01,1.000100000000000000e+04
2.096499919891357422e+00,1.010350235705732791e+00,1.000100000000000000e+04
2.109499931335449219e+00,9.762000288680581228e-01,1.000100000000000000e+04
2.122499942779541016e+00,1.103854507887295444e+00,1.000100000000000000e+04
2.135499954223632812e+00,1.016386017627971539e+00,1.000100000000000000e+04
2.148499965667724609e+00,1.070389662792820662e+00,1.000100000000000000e+04
2.161499977111816406e+00,1.135593198023013173e+00,1.000100000000000000e+04
2.174499988555908203e+00,1.085742772036749626e+00,1.000100000000000000e+04
2.187500000000000000e+00,9.549943329739386533e-01,1.000100000000000000e+04
2.200500011444091797e+00,1.132356441655095525e+00,1.000100000000000000e+04
2.213500022888183594e+00,1.039240102644694241e+00,1.000100000000000000e+04
